ID,Title,Selling price,Author,Date borrowed,Due date,Late return fine,Days on the loan,Days overdue
2eab7773-b16f-48ea-81b3-91e5a3de716f,Language Arts,3,Carter Grey,11/17/4130,10/2/3415,7,1,7/9/9078
67db2b0e-ad1e-4118-b96e-54c7a8c590fe,History,1,Blake Redden,3/23/8452,9/2/8969,3,2,6/12/5179
184404b2-aa93-412f-b6de-55ae0bb71a57,Instrumental Music,7,Rachael Sawyer,10/10/1554,8/17/6870,6,6,2/2/3748
f71faa6e-d1c0-4d62-b463-65bf6d6ed20e,Geography,1,Rocco Walker,10/29/3030,8/29/7501,2,6,7/24/3867
c133dd55-7bfb-448c-8338-ec0b32159cca,Physical Education,6,Aileen Brett,5/28/9041,2/25/7087,3,4,4/13/5734
e62e5f73-8b5e-4371-a67d-248475e9afea,Resource Program,7,Crystal Jackson,9/8/1016,4/11/3988,6,7,2/12/9113
2342cc7f-ce0f-4c2e-a14f-aca199f0db3a,Design and technology,1,Tony Cobb,5/3/2449,1/11/0210,1,6,1/12/8145
55fc1f1d-a7a5-411a-8c42-50ccbf98ff4a,Spanish,5,Logan Saunders,9/3/7710,6/28/3099,2,3,4/6/0954
4ac9f211-9c08-4b84-880b-49a4b95210da,Latin,8,Bryon Bailey,6/11/2973,9/7/1054,4,3,3/9/2059
eed0cd8f-2187-476b-9aec-c413c4673fa5,English IV,4,Clarissa Wheeler,3/18/4616,4/4/4535,0,5,8/17/5973
1007de6a-342d-498b-9f35-ffb75ea91215,Music,4,Carl Rowlands,12/5/3107,12/22/9681,5,6,4/19/2000
46b3bdef-7d65-471e-9194-db11d174c6b5,LOGIC,2,Olivia Stewart,11/10/1903,10/10/7974,0,5,12/14/4839
52890eef-1484-493c-bf99-8d86455a7818,French,2,Marie Watson,1/14/6161,9/30/5007,2,1,11/21/5039
db052cbe-8e23-4ddb-ae0d-f2b1e3ebcba1,Design and technology,5,Mark Fenton,4/11/6581,11/10/9936,1,0,12/30/9070
9aef8321-fbe4-4b69-b2e3-0b868dea4583,Leadership,7,Alexander Aldridge,5/2/5128,11/3/6167,6,4,4/27/3757
c04b742d-5ca9-4387-b6d5-2e27429f415d,English IV,0,Joy Riley,9/2/3641,11/4/7417,1,7,2/26/6160
0bcd27e2-0ad5-4f4b-bffe-becc92a74c80,Grammar,0,Fred Allcott,9/23/4803,3/7/3401,0,3,5/12/7281
ab455c4d-d7d2-4b2d-893b-816f94fa4d68,Economics,3,Percy Hale,7/26/1988,4/13/4582,4,1,3/21/8895
a2b66857-f4e0-40e4-a050-178b1b6bdb36,Modern Literature,4,Doug Maxwell,8/28/0535,6/19/2701,5,8,1/10/9087
46374673-514f-45d4-82ad-7a7f1e29e67b,French,8,Dorothy Walton,8/8/9374,6/16/2926,1,7,6/7/4362
ef5c68d2-6c9f-496a-83e5-e70dba94ce6e,Geography,1,Hadley Logan,10/20/9993,10/22/5744,2,6,5/27/8222
85d2855d-ac5a-46b4-95dd-672755a83939,Modern Literature,2,Hayden Egerton,3/8/7097,10/14/2780,3,1,3/7/9067
374fe38f-671b-42a4-b5c9-1a183481d1c8,Sociology,5,Cedrick Funnell,10/17/6144,9/1/8601,6,6,12/24/8473
4f1adcd0-5e81-46d8-90ac-b23a0815ea14,Ecology,4,Lindsay Gates,3/1/7684,3/6/1436,2,7,12/9/9362
f7ad5ef2-d3d0-47d4-830e-8e43b345f885,History,6,Carolyn Stevens,11/26/2222,2/17/3816,4,3,5/13/2404
f3c657fc-4af9-4ec6-a44e-02e1b631f555,American Literature,2,Natalie Andrews,7/23/6108,9/22/0688,6,2,1/14/7643
4b8c45d7-fdae-421b-94d3-76986a2040b6,Health,0,Morgan Haines,5/7/0524,10/9/8970,5,2,8/2/5266
d46b5869-3b10-45d9-a1b7-edac7f2324f9,English IV,0,Mike Utterson,11/30/8976,12/31/7772,5,2,2/7/5366
545eecda-1695-48b1-a72e-ffcf85a1b94e,American Literature,2,Matt Rose,11/6/5422,1/11/1814,3,7,8/2/3114
